Frequency (Hz)	Level (dB)
228.117371	-97.247612
228.453827	-97.595108
228.790283	-96.868454
229.126740	-94.968681
229.463196	-98.546455
229.799652	-99.206917
230.136108	-103.269592
230.472565	-97.438210
230.809021	-101.860634
231.145477	-93.872086
231.481934	-93.535278
231.818390	-97.585449
232.154846	-97.308357
232.491302	-96.961937
232.827759	-101.621971
233.164215	-96.611824
233.500671	-102.726219
233.837128	-102.280464
234.173584	-99.951103
234.510040	-97.590385
234.846497	-97.730209
235.182953	-94.513008
235.519409	-95.307442
235.855865	-97.101608
236.192322	-95.246712
236.528778	-93.623672
236.865234	-94.274109
237.201691	-97.165382
237.538147	-96.545685
237.874603	-102.795555
238.211060	-100.788582
238.547516	-100.602684
238.883972	-99.142197
239.220428	-102.405800
239.556885	-101.383003
239.893341	-101.275497
240.229797	-104.676010
240.566254	-92.873718
240.902710	-89.811905
241.239166	-96.318054
241.575623	-98.170876
241.912079	-93.029366
242.248535	-96.124664
242.584991	-97.991867
242.921448	-96.103409
243.257904	-99.741562
243.594360	-99.150940
243.930817	-101.832718
244.267273	-103.056053
244.603729	-100.098808
244.940186	-95.205528
245.276642	-94.664886
245.613098	-97.318710
245.949554	-98.714714
246.286011	-97.654854
246.622467	-96.639877
246.958923	-101.822655
247.295380	-102.103050
247.631836	-99.930336
247.968292	-101.290405
248.304749	-98.333092
248.641205	-95.006744
248.977661	-98.033035
249.314117	-107.869965
249.650574	-96.129051
249.987030	-95.500626
250.323486	-103.484215
250.659943	-103.332710
250.996399	-97.466766
251.332855	-103.695007
251.669312	-102.667198
252.005768	-96.032646
252.342224	-95.025375
252.678680	-96.715576
253.015137	-99.084862
253.351593	-105.281441
253.688049	-100.595276
254.024506	-96.050758
254.360962	-95.018822
254.697418	-103.368866
255.033875	-103.553452
255.370331	-104.863113
255.706787	-103.645454
256.043243	-103.396751
256.379700	-103.809357
256.716156	-100.573845
257.052612	-102.127609
257.389069	-96.202065
257.725525	-96.229134
258.061981	-99.427521
258.398438	-96.900574
258.734894	-99.684181
259.071350	-99.502678
259.407806	-95.782265
259.744263	-97.176003
260.080719	-103.702225
260.417175	-99.654602
260.753632	-99.035027
261.090088	-96.925247
261.426544	-100.324249
261.763000	-98.253090
262.099457	-92.748657
262.435913	-94.848602
262.772369	-101.352608
263.108826	-96.097969
263.445282	-97.308472
263.781738	-101.902130
264.118195	-104.741173
264.454651	-99.915108
264.791107	-101.375839
265.127563	-103.813484
265.464020	-102.219765
265.800476	-102.084641
266.136932	-101.836166
266.473389	-104.002136
266.809845	-104.928596
267.146301	-102.257790
267.482758	-104.839455
267.819214	-102.388092
268.155670	-100.960670
268.492126	-99.387695
268.828583	-100.743515
269.165039	-99.749611
269.501495	-99.501205
269.837952	-99.060616
270.174408	-99.554161
270.510864	-99.856293
270.847321	-99.660316
271.183777	-101.026649
271.520233	-99.438339
271.856689	-94.538513
272.193146	-100.718658
272.529602	-107.044273
272.866058	-102.304352
273.202515	-103.909966
273.538971	-102.652229
273.875427	-103.628227
274.211884	-100.906502
274.548340	-98.502014
274.884796	-103.409035
275.221252	-103.945450
275.557709	-99.658607
275.894165	-99.758087
276.230621	-104.485558
276.567078	-105.019310
276.903534	-101.687233
277.239990	-105.191498
277.576447	-106.932091
277.912903	-102.560692
278.249359	-101.900833
278.585815	-104.280579
278.922272	-102.074074
279.258728	-98.092026
279.595184	-100.098518
279.931641	-102.833595
280.268097	-106.653778
280.604553	-109.496964
280.941010	-105.116692
281.277466	-99.295494
281.613922	-95.600685
281.950378	-100.754929
282.286835	-102.491982
282.623291	-104.273819
282.959747	-111.148209
283.296204	-106.564041
283.632660	-100.199623
283.969116	-100.825447
284.305573	-104.876511
284.642029	-103.247498
284.978485	-108.971405
285.314941	-105.958153
285.651398	-105.749138
285.987854	-106.860054
286.324310	-107.386162
286.660767	-110.222328
286.997223	-112.374466
287.333679	-108.539429
287.670135	-107.381035
288.006592	-105.907791
288.343048	-109.274620
288.679504	-106.399185
289.015961	-104.207115
289.352417	-104.777168
289.688873	-106.960327
290.025330	-104.030853
290.361786	-105.871117
290.698242	-106.551575
291.034698	-105.360016
291.371155	-100.246315
291.707611	-101.932228
292.044067	-107.308609
292.380524	-103.820076
292.716980	-102.980621
293.053436	-103.816048
293.389893	-105.761772
293.726349	-110.056145
294.062805	-114.604401
294.399261	-110.229485
294.735718	-106.982697
295.072174	-106.976952
295.408630	-109.806976
295.745087	-110.165565
296.081543	-107.522690
296.417999	-102.996964
296.754456	-107.322159
297.090912	-103.859062
297.427368	-108.079185
297.763824	-104.136757
298.100281	-101.355911
298.436737	-106.396111
298.773193	-112.673759
299.109650	-110.353043
299.446106	-105.308388
299.782562	-103.725609
300.119019	-100.412872
300.455475	-100.937019
300.791931	-99.952492
301.128387	-112.336868
301.464844	-97.902336
301.801300	-100.427078
302.137756	-108.225121
302.474213	-103.667839
302.810669	-108.240250
303.147125	-111.249474
303.483582	-114.847664
303.820038	-107.971748
304.156494	-108.077187
304.492950	-110.227936
304.829407	-112.600243
305.165863	-109.072792
305.502319	-112.264923
305.838776	-108.658966
306.175232	-102.704155
306.511688	-107.881401
306.848145	-113.499184
307.184601	-111.138618
307.521057	-112.117790
307.857513	-109.132011
308.193970	-106.282738
308.530426	-102.509796
308.866882	-109.549995
309.203339	-107.146873
309.539795	-111.838127
309.876251	-116.520195
310.212708	-115.068420
310.549164	-108.710968
310.885620	-111.658028
311.222076	-113.560562
311.558533	-110.771400
311.894989	-110.211830
312.231445	-108.967316
312.567902	-106.552269
312.904358	-109.400688
313.240814	-117.519745
313.577271	-117.533394
313.913727	-114.415977
314.250183	-114.437729
314.586639	-115.879555
314.923096	-114.662239
315.259552	-115.671959
315.596008	-111.163887
315.932465	-110.753670
316.268921	-108.684586
316.605377	-110.358261
316.941833	-108.417511
317.278290	-108.678642
317.614746	-111.419601
317.951202	-110.294815
318.287659	-108.030495
318.624115	-110.638588
318.960571	-113.034813
319.297028	-109.780472
319.633484	-113.088615
319.969940	-112.057274
320.306396	-111.789200
320.642853	-106.405899
320.979309	-98.411949
321.315765	-99.696877
321.652222	-111.033188
321.988678	-116.952797
322.325134	-118.263832
322.661591	-119.591347
322.998047	-114.552650
323.334503	-111.504898
323.670959	-113.030441
324.007416	-113.503708
324.343872	-117.247002
324.680328	-119.708626
325.016785	-118.273712
325.353241	-114.384537
325.689697	-113.690262
326.026154	-113.868347
326.362610	-113.854050
326.699066	-111.863243
327.035522	-114.644478
327.371979	-115.992928
327.708435	-110.966354
328.044891	-119.185585
328.381348	-111.688942
328.717804	-113.830490
329.054260	-122.855583
329.390717	-119.433212
329.727173	-119.682831
330.063629	-119.862953
330.400085	-111.335960
330.736542	-92.314377
331.072998	-85.691498
331.409454	-90.576614
331.745911	-111.536674
332.082367	-123.840721
332.418823	-122.288017
332.755280	-124.756256
333.091736	-123.157639
333.428192	-123.130028
333.764648	-127.336159
334.101105	-122.783165
334.437561	-123.219810
334.774017	-125.621475
335.110474	-123.767654
335.446930	-122.575813
335.783386	-120.350914
336.119843	-124.693634
336.456299	-123.583366
336.792755	-124.139618
337.129211	-125.506790
337.465668	-125.758919
337.802124	-125.565521
338.138580	-128.610703
338.475037	-126.505081
338.811493	-132.760468
339.147949	-128.667587
339.484406	-127.765808
339.820862	-131.775375
340.157318	-133.646454
340.493774	-134.206711
340.830231	-136.274979
341.166687	-138.044861
341.503143	-140.406845
341.839600	-134.180862
342.176056	-136.136139
342.512512	-143.253159
342.848969	-137.445892
343.185425	-137.541122
343.521881	-143.217575
343.858337	-145.808182
344.194794	-147.064987
344.531250	-146.055191
344.867706	-145.546967
345.204163	-145.459030
345.540619	-142.813751
345.877075	-139.202744
346.213531	-140.236221
346.549988	-143.431274
346.886444	-136.767960
347.222900	-134.616104
347.559357	-139.375214
347.895813	-135.814316
348.232269	-134.654846
348.568726	-133.607605
348.905182	-134.720657
349.241638	-133.667130
349.578094	-129.250885
349.914551	-129.548935
350.251007	-134.750076
350.587463	-128.250046
350.923920	-129.701797
351.260376	-127.024078
351.596832	-127.822540
351.933289	-127.546280
352.269745	-126.014778
352.606201	-125.736023
352.942657	-126.198799
353.279114	-122.440704
353.615570	-124.812996
353.952026	-126.029961
354.288483	-127.072525
354.624939	-125.434700
354.961395	-124.816193
355.297852	-130.208206
355.634308	-125.363785
355.970764	-125.980240
356.307220	-127.166611
356.643677	-124.158905
356.980133	-126.260231
357.316589	-114.330063
357.653046	-93.302231
357.989502	-88.418922
358.325958	-95.034149
358.662415	-114.264107
358.998871	-123.053253
359.335327	-123.203110
359.671783	-122.347748
360.008240	-125.920242
360.344696	-116.973244
360.681152	-114.799644
361.017609	-123.313034
361.354065	-114.688400
361.690521	-119.439812
362.026978	-118.012962
362.363434	-115.449791
362.699890	-117.632324
363.036346	-117.637894
363.372803	-117.557137
363.709259	-118.355545
364.045715	-122.146873
364.382172	-123.316895
364.718628	-121.310516
365.055084	-117.675835
365.391541	-117.104973
365.727997	-115.771011
366.064453	-119.142693
366.400909	-124.214111
366.737366	-122.976402
367.073822	-121.436325
367.410278	-115.929237
367.746735	-104.491768
368.083191	-103.167900
368.419647	-111.157188
368.756104	-116.801498
369.092560	-117.201302
369.429016	-118.306465
369.765472	-114.938347
370.101929	-118.280968
370.438385	-115.823479
370.774841	-113.375984
371.111298	-115.592392
371.447754	-117.022850
371.784210	-114.215401
372.120667	-114.062027
372.457123	-116.362549
372.793579	-114.683784
373.130035	-116.593925
373.466492	-116.891441
373.802948	-121.242355
374.139404	-120.608986
374.475861	-121.886559
374.812317	-120.672440
375.148773	-120.627090
375.485229	-124.453529
375.821686	-124.124214
376.158142	-115.802414
376.494598	-113.046776
376.831055	-115.423820
377.167511	-116.829002
377.503967	-117.548584
377.840424	-120.506126
378.176880	-118.620934
378.513336	-116.054955
378.849792	-122.481255
379.186249	-123.628662
379.522705	-119.053459
379.859161	-114.306519
380.195618	-116.832535
380.532074	-109.880928
380.868530	-113.748665
381.204987	-116.559036
381.541443	-119.635048
381.877899	-118.723740
382.214355	-121.206818
382.550812	-115.612480
382.887268	-110.517700
383.223724	-116.491783
383.560181	-119.904205
383.896637	-116.940781
384.233093	-120.691551
384.569550	-118.611420
384.906006	-116.364876
385.242462	-116.266670
385.578918	-122.969795
385.915375	-119.624229
386.251831	-116.828987
386.588287	-112.345650
386.924744	-116.914566
387.261200	-109.160866
387.597656	-106.685097
387.934113	-120.873146
388.270569	-108.916969
388.607025	-109.949226
388.943481	-109.439552
389.279938	-112.728279
389.616394	-114.416565
389.952850	-119.426369
390.289307	-122.156296
390.625763	-115.820145
390.962219	-110.844917
391.298676	-113.547615
391.635132	-117.702202
391.971588	-113.767570
392.308044	-117.291245
392.644501	-112.880623
392.980957	-117.437691
393.317413	-120.192902
393.653870	-119.950821
393.990326	-117.043007
394.326782	-117.139038
394.663239	-120.579880
394.999695	-124.904877
395.336151	-120.520584
395.672607	-116.234787
396.009064	-114.361084
396.345520	-113.721794
396.681976	-114.575844
397.018433	-117.865707
397.354889	-112.887489
397.691345	-111.040878
398.027802	-116.094772
398.364258	-117.558189
398.700714	-117.129623
399.037170	-115.442711
399.373627	-118.451706
399.710083	-116.099747
400.046539	-115.692635
400.382996	-117.992043
400.719452	-120.849457
401.055908	-117.468224
401.392365	-119.093781
401.728821	-120.232445
402.065277	-124.085609
402.401733	-121.788292
402.738190	-119.279770
403.074646	-118.857658
403.411102	-117.904404
403.747559	-118.397980
404.084015	-121.397102
404.420471	-115.717674
404.756927	-117.149910
405.093384	-113.355362
405.429840	-112.653137
405.766296	-118.886208
406.102753	-124.100441
406.439209	-117.358299
406.775665	-115.410088
407.112122	-113.631409
407.448578	-108.512238
407.785034	-112.246117
408.121490	-118.126060
408.457947	-122.473640
408.794403	-119.889458
409.130859	-115.983673
409.467316	-113.374283
409.803772	-111.516937
410.140228	-115.633781
410.476685	-117.819733
410.813141	-115.570793
411.149597	-116.076729
411.486053	-120.169121
411.822510	-118.852280
412.158966	-115.667625
412.495422	-119.064468
412.831879	-118.638084
413.168335	-114.201958
413.504791	-114.034286
413.841248	-118.182289
414.177704	-117.676170
414.514160	-112.887978
414.850616	-115.265343
415.187073	-118.398621
415.523529	-117.438377
415.859985	-118.621674
416.196442	-117.319885
416.532898	-121.926674
416.869354	-115.749153
417.205811	-109.545143
417.542267	-114.396851
417.878723	-116.235222
418.215179	-114.708618
418.551636	-115.047958
418.888092	-114.704430
419.224548	-114.685860
419.561005	-115.016296
419.897461	-115.204292
420.233917	-116.269684
420.570374	-115.239059
420.906830	-116.843285
421.243286	-118.308685
421.579742	-121.014015
421.916199	-118.416931
422.252655	-121.182495
422.589111	-120.098732
422.925568	-117.988449
423.262024	-118.269485
423.598480	-118.428772
423.934937	-120.279648
424.271393	-118.135551
424.607849	-116.685486
424.944305	-121.320229
425.280762	-118.647964
425.617218	-114.066719
425.953674	-113.091492
